Procesado,Método,URI,Banderas
true,GET,https://127.0.0.1,Semilla
true,GET,https://127.0.0.1/robots.txt,Semilla
true,GET,https://127.0.0.1/sitemap.xml,Semilla
true,GET,https://127.0.0.1/dashboard/,
true,GET,https://127.0.0.1/dashboard/index.html,
true,GET,https://127.0.0.1/dashboard/faq.html,
true,GET,https://127.0.0.1/dashboard/howto.html,
true,GET,https://127.0.0.1/dashboard/phpinfo.php,
true,GET,https://127.0.0.1/phpmyadmin/,
false,GET,https://community.apachefriends.org/,Fuera del Ámbito
false,GET,https://www.facebook.com/we.are.xampp,Fuera del Ámbito
false,GET,https://twitter.com/apachefriends,Fuera del Ámbito
false,GET,https://www.apachefriends.org/blog.html,Fuera del Ámbito
true,GET,https://127.0.0.1/privacy_policy.html,
false,GET,http://www.fastly.com/,Fuera del Ámbito
true,GET,https://127.0.0.1/dashboard/stylesheets/normalize.css,
true,GET,https://127.0.0.1/dashboard/stylesheets/all.css,
false,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/3.1.0/css/font-awesome.min.css,Fuera del Ámbito
true,GET,https://127.0.0.1/dashboard/images/favicon.png,
true,GET,https://127.0.0.1/dashboard/javascripts/modernizr.js,
false,GET,https://code.jquery.com/jquery-1.10.2.min.js,Fuera del Ámbito
true,GET,https://127.0.0.1/dashboard/javascripts/all.js,
true,GET,https://127.0.0.1/dashboard/images/xampp-logo.svg,
true,GET,https://127.0.0.1/dashboard/images/fastly-logo.png,
false,GET,http://www.w3.org/2000/svg,Fuera del Ámbito
false,GET,https://github.com/kriskowal/es5-shim/blob/master/es5-shim.js,Fuera del Ámbito
false,GET,http://foundation.zurb.com/,Fuera del Ámbito
false,GET,http://www.opensource.org/licenses/mit-license.php,Fuera del Ámbito
false,GET,https://github.com/paulirish/matchMedia.js,Fuera del Ámbito
false,GET,https://github.com/gnarf37/jquery-requestAnimationFrame,Fuera del Ámbito
false,GET,http://paulirish.com/2011/requestanimationframe-for-smart-animating/,Fuera del Ámbito
false,GET,http://my.opera.com/emoller/blog/2011/12/20/requestanimationframe-for-smart-er-animating,Fuera del Ámbito
false,GET,http://www.whatwg.org/specs/web-apps/current-work/multipage/states-of-the-type-attribute.html,Fuera del Ámbito
false,GET,http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd,Fuera del Ámbito
false,GET,http://www.w3.org/1999/xlink,Fuera del Ámbito
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/logout,
true,GET,https://127.0.0.1/phpmyadmin/doc/html/index.html,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fmariadb.com%2Fkb%2Fen%2Fdocumentation%2F,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=virtual_xp&lang=es&route=/table/recent-favorite&table=usuarios,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=virtual-xp&lang=es&route=/table/recent-favorite&table=usuarios,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=usuarios&lang=es&route=/table/recent-favorite&table=usuarios,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=virtual-xp&lang=es&route=/table/recent-favorite&table=Usuarios,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=virtual+xp+registro-login&lang=es&route=/table/recent-favorite&table=usuarios,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=virtual+xp+registro-login&lang=es&route=/table/recent-favorite&table=Usuarios,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/databases,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=example_app&lang=es&route=/database/operations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=example_app&lang=es&route=/database/structure,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=information_schema&lang=es&route=/database/operations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=information_schema&lang=es&route=/database/structure,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=mysql&lang=es&route=/database/operations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=mysql&lang=es&route=/database/structure,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=performance_schema&lang=es&route=/database/operations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=performance_schema&lang=es&route=/database/structure,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=phpmyadmin&lang=es&route=/database/operations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=phpmyadmin&lang=es&route=/database/structure,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=usuarios&lang=es&route=/database/operations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=usuarios&lang=es&route=/database/structure,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=virtual_xp&lang=es&route=/database/operations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?db=virtual_xp&lang=es&route=/database/structure,
true,GET,https://127.0.0.1/phpmyadmin/doc/html/config.html,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/sql,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/status,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/privileges&viewing_mode=server,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/export,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/import,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/preferences/manage,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/replication,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/variables,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/collations,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/engines,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/server/plugins,
true,GET,https://127.0.0.1/phpmyadmin/index.php?ajax_request=1&favorite_table=1&lang=es&route=/database/structure/favorite-table&sync_favorite_tables=1,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fdev.mysql.com%2Fdoc%2Frefman%2F8.0%2Fen%2Fcharset-connection.html,
true,GET,https://127.0.0.1/phpmyadmin/doc/html/faq.html,
true,GET,https://127.0.0.1/phpmyadmin/doc/html/setup.html,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fwww.php.net%2Fmanual%2Fes%2Fbook.mysqli.php,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fwww.php.net%2Fmanual%2Fes%2Fbook.curl.php,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fwww.php.net%2Fmanual%2Fes%2Fbook.mbstring.php,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fwww.phpmyadmin.net%2F,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fwww.phpmyadmin.net%2Fcontribute%2F,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fwww.phpmyadmin.net%2Fsupport%2F,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/changelog,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=/license,
true,GET,https://127.0.0.1/phpmyadmin/url.php?url=https%3A%2F%2Fwww.phpmyadmin.net%2Fthemes%2F,
true,GET,https://127.0.0.1/phpmyadmin/index.php?lang=es&route=%2F&server=1,
true,GET,https://127.0.0.1/phpmyadmin/favicon.ico,
true,GET,https://127.0.0.1/phpmyadmin/themes/pmahomme/jquery/jquery-ui.css,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/lib/codemirror.css?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/addon/hint/show-hint.css?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/addon/lint/lint.css?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/themes/pmahomme/css/theme.css?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/jquery/jquery.min.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/jquery/jquery-migrate.min.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/sprintf.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/ajax.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/keyhandler.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/jquery/jquery-ui.min.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/name-conflict-fixes.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/bootstrap/bootstrap.bundle.min.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/js.cookie.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/jquery/jquery.validate.min.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/jquery/jquery-ui-timepicker-addon.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/jquery/jquery.debounce-1.0.6.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/menu_resizer.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/cross_framing_protection.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/messages.php?l=en&lang=es&v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/config.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/doclinks.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/functions.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/navigation.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/indexes.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/common.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/page_settings.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/home.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/lib/codemirror.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/mode/sql/sql.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/addon/runmode/runmode.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/addon/hint/show-hint.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/addon/hint/sql-hint.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/codemirror/addon/lint/lint.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/codemirror/addon/lint/sql-lint.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/vendor/tracekit.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/error_report.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/drag_drop_import.js?v=5.2.1,
true,GET,https://127.0.0.1/phpmyadmin/js/dist/shortcuts_handler.js?v=5.2.1,
